	Gene	Chromosome	TxStart	TxEnd
14811	ADPRHL2	1	36223578	36228625
8096	COL8A2	1	36234943	36229938
8171	TRAPPC3	1	36284160	36271267
9722	THRAP3	1	36359139	36439250
14281	EVA1B	1	36458848	36456724
5711	STK40	1	36520578	36474323
10944	LSM10	1	36532586	36528123
7263	OSCP1	1	36585145	36552600
11462	MRPS15	1	36599062	36590465
5139	CSF3R	1	36617593	36600787
9510	GRIK3	1	37168937	36935706
7063	ZC3H12A	1	37609245	37619069
3580	MEAF6	1	37649457	37627268
5239	SNIP1	1	37688996	37671235
8240	DNALI1	1	37691612	37701550
15652	GNL2	1	37730589	37701510
7658	RSPO1	1	37769430	37746043
10016	C1orf109	1	37825285	37816335
12730	CDCA8	1	37827251	37844482
7864	EPHA10	1	37891456	37895050
1597	MANEAL	1	37930252	37936313
12236	YRDC	1	37942958	37937706
10546	C1orf122	1	37943061	37944219
13947	MTF1	1	37994324	37948943
9622	INPP5B	1	38066514	37996851
6449	SF3A3	1	38124854	38091746
14733	FHL3	1	38140327	38131535
12398	UTP11	1	38147506	38158587
2341	POU3F1	1	38181518	38179370
3037	RRAGC	1	38994433	38974113
544	MYCBP	1	39008143	38997728
2201	GJA9	1	39016382	39008831
8386	RHBDL2	1	39076543	39050269
686	AKIRIN1	1	39126009	39140072
1799	NDUFS5	1	39161098	39169379
8616	BMP8A	1	39626410	39660700
7953	PABPC4	1	39711509	39695581
13911	HEYL	1	39774411	39758917
5832	NT5C1A	1	39806803	39793885
2303	HPCAL4	1	39826182	39813738
6799	PPIE	1	39873622	39898678
4005	OXCT2	1	39906113	39904289
8617	BMP8B	1	39923626	39892995
3519	TRIT1	1	39988785	39975821
8420	MYCL	1	40036659	40034494
4401	MFSD2A	1	40089902	40104720
865	CAP1	1	40175520	40207413
1830	PPT1	1	40232061	40207476
1085	RLF	1	40296153	40375684
14059	TMCO2	1	40382665	40386456
8354	ZMPSTE24	1	40392871	40428944
7024	COL9A2	1	40452032	40435255
12766	SMAP2	1	40508820	40558085
3160	ZFP69B	1	40584871	40598445
4343	ZFP69	1	40611979	40631030
13366	EXO5	1	40643525	40651305
10116	ZNF684	1	40666325	40682932
15174	RIMS3	1	40800417	40755444
10694	NFYC	1	40826480	40906368
14127	KCNQ4	1	40918776	40973453
2967	CITED4	1	40997111	40995821
647	CTPS1	1	41114535	41147321
12355	SCMH1	1	41296139	41161969
15827	EDN2	1	41619390	41613539
9039	HIVEP3	1	42053254	41644777
9668	GUCA2B	1	42288184	42290588
9614	GUCA2A	1	42299488	42297454
2120	FOXJ3	1	42469996	42311303
14866	RIMKLA	1	42515574	42549936
3775	ZMYND12	1	42591020	42565187
14029	PPCS	1	42591294	42595213
2689	CCDC30	1	42617457	42672733
8199	PPIH	1	42793140	42811521
5162	YBX1	1	42817216	42837113
14946	CLDN19	1	42874904	42869760
15316	P3H1	1	42901776	42881138
8217	C1orf50	1	42902032	42910503
12846	ERMAP	1	42951868	42979753
5843	SVBP	1	42952016	42941825
2338	ZNF691	1	42981372	42987237
13338	SLC2A1	1	43093594	43060611
2881	EBNA1BP2	1	43307024	43298948
15038	CFAP57	1	43307118	43345642
2117	TMEM125	1	43405499	43408765
4430	C1orf210	1	43420332	43416650
7865	TIE1	1	43435756	43457871
899	MPL	1	43472567	43489228
11185	CDC20	1	43493720	43497964
13902	ELOVL1	1	43502792	43498165
12324	MED8	1	43524576	43519489
8243	SZT2	1	43564554	43585917
162	HYI	1	43589011	43585923
3065	PTPRF	1	43665639	43758427
12771	KDM4A	1	43784930	43840231
8553	ST3GAL3	1	43842310	44065923
167	ARTN	1	44068084	44071977
205	IPO13	1	44081735	44102517
4571	DPH2	1	44104751	44108138
7509	ATP6V0B	1	44109703	44113059
3679	B4GALT2	1	44113958	44125932
10922	CCDC24	1	44126372	44131289
1755	KLF17	1	44253614	44269900
11058	DMAP1	1	44348255	44355437
6956	RNF220	1	44540052	44786489
4098	TMEM53	1	44809192	44788594
2052	ARMH1	1	44809486	44860354
2549	KIF2C	1	44874643	44902506
12631	RPS8	1	44910338	44913505
11604	BEST4	1	44922470	44918351
516	PLK3	1	44935128	44940759
5093	TCTEX1D4	1	44942050	44940682
477	PTCH2	1	44977709	44957179
364	EIF2B3	1	45121345	45009295
6858	HECTD3	1	45145893	45137306
11039	UROD	1	45147012	45150434
4090	ZSWIM5	1	45341321	45151170
8723	HPDL	1	45461637	45463440
9559	TOE1	1	45474434	45478467
10865	MUTYH	1	45475153	45464007
7401	TESK2	1	45592564	45478648
10189	MMACHC	1	45635083	45645819
12436	PRDX1	1	45656702	45645800
6938	AKR1A1	1	45685590	45704813
14194	NASP	1	45718809	45753660
3347	CCDC17	1	45758822	45754809
9997	GPBP1L1	1	45795904	45762075
12885	TMEM69	1	45822956	45829200
13686	MAST2	1	45981330	46213813
7964	PIK3R3	1	46310308	46221353
11802	TSPAN1	1	46358231	46363650
14930	POMGNT1	1	46376118	46366374
384	LURAP1	1	46381032	46398022
1424	RAD54L	1	46425436	46456165
1291	LRRC41	1	46480955	46456095
8597	UQCRH	1	46481389	46494465
467	NSUN4	1	46518409	46542710
15954	FAAH	1	46572011	46591536
5560	DMBX1	1	46684687	46691904
15559	KNCN	1	46727704	46723335
7741	MKNK1	1	46771838	46736265
6751	MOB3C	1	46792825	46785410
1567	ATPAF1	1	46846048	46812732
6135	EFCAB14	1	46896756	46852852
13414	CYP4B1	1	46976737	46997105
7097	CYP4A11	1	47119437	47106865
6156	CYP4X1	1	47201259	47228442
4683	CYP4Z1	1	47245179	47296012
14784	CYP4A22	1	47315126	47326546
5698	PDZK1IP1	1	47367791	47361280
6775	TAL1	1	47403272	47393983
1504	STIL	1	47491839	47427868
6073	CMPK1	1	47511607	47556530
10427	FOXE3	1	47593763	47595743
16012	FOXD2	1	47613708	47618382
6815	SLC5A9	1	48400423	48426336
12012	SPATA6	1	48649865	48476297
15196	BEND5	1	48954523	48905563
8705	AGBL4	1	49223406	48761561
2085	ELAVL4	1	50281601	50379074
9912	FAF1	1	51137821	50618968
9392	CDKN2C	1	51146387	51152326
7834	C1orf185	1	51279920	51325540
4	RNF11	1	51413991	51451231
11096	TTC39A	1	51499903	51464975
11189	EPS15	1	51697016	51531955
9145	OSBPL9	1	51794784	51966157
2858	NRDC	1	52056407	51966904
11986	RAB3B	1	52168369	52096857
4120	KTI12	1	52211493	52209797
4020	TXNDC12	1	52233068	52197826
15362	BTF3L4	1	52233993	52266083
13774	ZFYVE9	1	52320066	52524378
14660	CC2D1B	1	52543885	52528287
8105	ORC1	1	52582152	52550521
10964	PRPF38A	1	52582256	52595871
9098	ZCCHC11	1	52730687	52692488
13620	GPX7	1	52780064	52786743
13408	SHISAL2A	1	52811086	52847358
6341	COA7	1	52876059	52864534
7635	ZYG11B	1	52904201	53003346
7637	ZYG11A	1	53020203	53072686
5231	ECHDC2	1	53099396	53073925
8538	SCP2	1	53104968	53229303
13428	PODN	1	53239905	53263194
13272	SLC1A7	1	53320270	53264876
9836	CPT2	1	53374121	53391888
10547	C1orf123	1	53398310	53391794
9846	MAGOH	1	53416228	53404586
7800	LRP8	1	53505707	53424260
3523	DMRTB1	1	53637092	53645179
3890	GLIS1	1	53911898	53683926
4602	NDC1	1	54016196	53945409
15346	YIPF1	1	54067474	54029427
6635	DIO1	1	54071881	54088779
9805	HSPB11	1	54123309	54099254
1294	LRRC42	1	54124057	54145860
3832	LDLRAD1	1	54195866	54186432
4094	TMEM59	1	54230881	54209702
14140	TCEANC2	1	54231294	54277437
15407	CYB5RL	1	54377706	54363847
8356	MRPL37	1	54377860	54396071
6102	SSBP3	1	54584000	54404216
1001	ACOT11	1	54725921	54812438
12518	FAM151A	1	54801219	54786875
9822	MROH7	1	54819479	54887960
5168	TTC4	1	54893576	54920001
5869	PARS2	1	54942208	54934593
1431	TTC22	1	54978892	54962245
12422	LEXM	1	54983756	55019944
2152	DHCR24	1	55064926	55027320
12881	TMEM61	1	55158485	55169986
8417	BSND	1	55176637	55186485
12030	PCSK9	1	55217240	55242544
4494	PLPP3	1	56757278	56672455
1469	PRKAA2	1	56823040	56886142
11187	FYB2	1	56997065	56896497
7823	C8A	1	57032499	57095915
10329	DAB1	1	58428232	57175599
5667	OMA1	1	58724467	58658412
5442	TACSTD2	1	58755466	58752663
7611	JUN	1	58961806	58958483
5742	FGGY	1	59474673	59940419
13867	HOOK1	1	59992553	60050663
7230	CYP2J2	1	60104444	60071001
5768	C1orf87	1	60251447	60168087
16030	NFIA	1	61260000	61634062
4584	TM2D1	1	61903116	61858739
7557	PATJ	1	61920169	62338628
7446	L1TD1	1	62372556	62389239
4823	KANK4	1	62497104	62414841
15473	USP1	1	62614403	62629494
6685	DOCK7	1	62764247	62632704
10137	ANGPTL3	1	62775207	62783201
233	ATG4C	1	62961823	63042070
2692	FOXD3	1	63500750	63502187
3395	ALG6	1	63545318	63614897
1471	ITGB3BP	1	63700856	63618482
10742	EFCAB7	1	63701288	63750384
9916	PGM1	1	63770967	63837935
3638	ROR1	1	63951734	64356728
5744	UBE2U	1	64381510	64422048
15333	CACHD1	1	64683618	64870757
14527	RAVER2	1	64922798	65010933
13097	JAK1	1	65064007	65012228
5298	AK4	1	65325533	65405194
1139	DNAJC6	1	65442450	65593573
10245	LEPR	1	65598338	65814843
13777	LEPROT	1	65598339	65610270
15739	PDE4B	1	65970884	66552277
11091	SGIP1	1	66711985	66922788
7134	TCTEX1D1	1	66930162	66956491
14742	INSL5	1	66978960	66975444
4314	WDR78	1	67102591	67015308
2624	MIER1	1	67102662	67165734
2714	SLC35D1	1	67231749	67181871
2780	C1orf141	1	67306241	67269879
13722	IL23R	1	67344189	67437669
2553	IL12RB2	1	67485067	67574604
8218	SERBP1	1	67608075	67590821
4836	GADD45A	1	67862903	67866040
2288	GNG12	1	68011129	67879242
5306	DIRAS3	1	68228481	68223667
7119	WLS	1	68410274	68303061
7382	RPE65	1	68627663	68606465
5468	DEPDC1	1	68674728	68652959
6643	LRRC7	1	69746153	70299947
1292	LRRC40	1	70383296	70322517
497	SRSF11	1	70383385	70429705
4459	ANKRD13C	1	70532421	70439568
5354	HHLA3	1	70532532	70545724
4206	CTH	1	70588975	70617273
5123	PTGER3	1	71225512	71188848
1813	ZRANB2	1	71258766	71240995
6845	NEGR1	1	72460202	71583838
5688	LRRIQ3	1	74375852	74357614
4297	FPGT	1	74375946	74385141
11930	TNNI3K	1	74413105	74722129
165	ERICH3	1	74757468	74745821
1007	CRYZ	1	74910748	74883204
11674	TYW3	1	74910860	74943329
14150	LHX8	1	75306139	75339237
1775	SLC44A5	1	75788790	75384303
12574	ACADM	1	75902302	75941204
15281	RABGGTB	1	75963906	75972785
9526	MSH4	1	75974650	76090944
14599	ASB17	1	76110137	76096580
15268	ST6GALNAC3	1	76252424	76808653
15266	ST6GALNAC5	1	77045206	77241756
736	PIGK	1	77397132	77269409
15116	AK5	1	77459762	77737673
2370	ZZZ3	1	77860364	77742210
6653	USP33	1	77937558	77889360
13869	MIGA1	1	77957329	78056113
3541	NEXN	1	78095828	78120930
1362	FUBP1	1	78156774	78125613
9490	DNAJB4	1	78182656	78195014
15844	GIPC2	1	78223609	78315132
5748	PTGFR	1	78668748	78716495
10236	IFI44L	1	78798169	78820090
14276	IFI44	1	78827536	78841778
3225	ADGRL4	1	79184382	79068307
5181	ADGRL2	1	81978102	82170127
3276	TTLL7	1	84176750	84047467
5714	PRKACB	1	84255765	84416200
15293	SAMD13	1	84476069	84528500
5426	DNASE2B	1	84576235	84592712
10091	RPF1	1	84656978	84675382
12010	SPATA1	1	84684033	84730788
3378	GNG5	1	84684264	84676112
2282	CTBS	1	84752119	84732242
4501	SSX2IP	1	84868201	84821619
12680	LPAR3	1	85043863	84991521
3047	MCOLN2	1	85143405	85104388
15238	MCOLN3	1	85226150	85196611
12522	WDR63	1	85240027	85310840
1386	C1orf52	1	85437346	85429676
3969	BCL10	1	85454178	85444866
11308	DDAH1	1	85642844	85496189
11216	CYR61	1	85758480	85761410
313	ZNHIT6	1	85886122	85830512
14555	COL24A1	1	86334142	85906938
16010	ODF2L	1	86574024	86526441
7241	CLCA2	1	86601845	86634259
10822	CLCA1	1	86646071	86677963
7247	CLCA4	1	86724781	86758451
9606	SH3GLB1	1	86882524	86921290
13234	SELENOF	1	87092128	87040150
11179	HS2ST1	1	87092458	87287685
9271	LMO4	1	87506171	87523283
3800	PKN2	1	88862276	89011443
13094	GTF2B	1	89069275	89030635
211	RBMXL1	1	89170537	89158142
15653	GBP3	1	89200565	89184391
15655	GBP1	1	89242912	89230025
15654	GBP2	1	89303820	89285330
15657	GBP7	1	89353744	89309490
15660	GBP4	1	89376583	89359480
